Family,Binomial,Common_name,TR,Prey,Reference,Notes,Functional_Group,Ecological_Rationale
Coryphaenidae,Coryphaena hippurus,Common dolphinfish,4.4,"Fish; Cephalopods; Crustaceans
Large prey item list on FishBase - dominated by Fish","Lasso and Zapata. 1999. 
Junior and Lessa. 2004.",,Pelagic Macropredator,Primarily piscivorous with diverse fish prey; occasionally consumes larger crustacean plankton and cephalopods; exemplifies the pelagic visual predator ecological role
Istiophoridae,Makaira nigricans,Blue marlin,4.5,Fish (Scombridae); Cephalopods,"https://www.tandfonline.com/doi/abs/10.1080/17451000.2011.578648
Shimose et al. 2006",,Apex Pelagic Predator,"Apex predator specializing in large, fast-swimming fish including tunas and dolphinfish; highest trophic position in the system alongside sharks; no direct consumption of plankton groups"
Monacanthidae,Aluterus monoceros,Unicorn leatherjacket filefish,3.8,"Zoobenthos (worms, cnidarians, benthic inverts); Zooplankton (copepods); Nekton (Acetes spp. and clupeid juveniles)",Gosh et al. 2011,,Oceanic Omnivore,Diverse diet spanning multiple prey categories; consumes various plankton groups including some gelatinous forms; has adaptations for consuming diverse prey types
Monacanthidae,Aluterus scriptus,Scribbled leatherjacket filefish,2.8,Jellfish; Plants,FishBase,,Oceanic Omnivore,
Monacanthidae,Aluterus sp,,3.3,,,,Oceanic Omnivore,
Monacanthidae,Monacanthus sp,,3.8,,,,Oceanic Omnivore,Diet spans multiple categories but likely includes a substantial component of benthic and planktonic invertebrates; opportunistically feeds on diverse prey types
Nomeidae,Psenes cyanophrys,Freckled driftfish,3.4,Planktonic inverts; Benthic crustaceans,FishBase,,Zooplanktivore,Specializes in smaller planktonic invertebrates; has evolved in association with gelatinous plankton; represents the classic small planktivore ecological role
Nomeidae,Psenes sp,,3.5,,,,Zooplanktivore,Strong association with gelatinous plankton communities; specialized feeding on small planktonic organisms found around gelatinous structures; combines aspects of small planktivore and gelatinous specialist
Priacanthidae,Priacanthus sp,,4,,,,Zooplanktivore,"Nocturnal feeder on zooplankton, particularly crustacean groups; has large eyes adapted for low-light predation on plankton; primarily targets larger zooplankton species"
Scombridae,Gymnosarda unicolor,Dogtooth tuna,4.5,Fish (most); Cephalopods,FishBase,FishBase mentions Decapterus,Apex Pelagic Predator,Top reef-associated pelagic predator; primarily consumes fish with occasional cephalopods; represents the highest trophic level in reef-adjacent pelagic systems
Scombridae,Thunnus sp,,4.3,,,,Apex Pelagic Predator,Fast-swimming oceanic apex predator; primarily piscivorous with occasional consumption of larger crustacean plankton; exerts top-down influence on pelagic food web
Sphyraenidae,Sphyraena barracuda,Great barracuda,4.5,Fish (most); Cephalopods,"FishBase
Akadje et al. 2013",,Apex Pelagic Predator,Visual ambush predator mainly consuming fish; occupies top trophic position in coastal pelagic habitats; no direct consumption of plankton functional groups
